case,t_s,T_K,rho,bin,radius_m,phi_open,phi_iso,phi_closed
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,1,1.0236517085738568e-08,1.899562926100818e-05,1.291526975320527e-12,4.2111433362430066e-13
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,2,1.2830973311830731e-08,0.0026008961536833127,1.2261969007872912e-11,3.267869612037865e-12
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,3,1.6082997248964597e-08,0.02535704083288352,4.1530082461385616e-11,7.691301862894395e-12
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,4,2.0159250138234185e-08,0.0728676476747551,6.198313475571169e-11,7.526455247997806e-12
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,5,2.526863369090349e-08,0.10435574916888495,5.2349600854352785e-11,4.090718825674591e-12
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,6,3.167299598084116e-08,0.09146792722682953,2.8342820978835562e-11,1.4157325815106182e-12
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,7,3.970055075686648e-08,0.05326436133153874,1.037990766451358e-11,3.30568394454243e-13
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,8,4.976269789419122e-08,0.02129989241750393,2.6291970799254923e-12,5.333051701070118e-14
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,9,6.237510700730634e-08,0.005927793187129462,4.64811581453883e-13,6.002550372935982e-15
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,10,7.818414472715056e-08,0.0011543339806492185,5.756492871391723e-14,4.732068248080328e-16
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,11,9.8e-08,0.00015763162701502335,5.001685946334565e-15,2.617064778163319e-17
CS_thermal,14944.88366986724,1542.2606374268212,0.6473334511864031,0,8.166666666666667e-09,1.943079269430336e-13,8.288227762332426e-14,3.135235111873097e-14
CS_thermal,14944.88366986724,1542.2606374268212,0.6473334511864031,1,1.0236517085738568e-08,2.6170952917734604e-06,1.316341861310697e-12,4.3720484898959986e-13
CS_thermal,14944.88366986724,1542.2606374268212,0.6473334511864031,2,1.2830973311830731e-08,0.0012351184829957063,1.5669774495189836e-11,4.717566278233155e-12
CS_thermal,14944.88366986724,1542.2606374268212,0.6473334511864031,3,1.6082997248964597e-08,0.01891047054092935,6.726739588186428e-11,1.471261232129696e-11
CS_thermal,14944.88366986724,1542.2606374268212,0.6473334511864031,4,2.0159250138234185e-08,0.06478832210345904,1.1303132375199413e-10,1.6415430400006564e-11
CS_thermal,14944.88366986724,1542.2606374268212,0.6473334511864031,5,2.526863369090349e-08,0.09952585138410913,1.0044356291236666e-10,9.426925079438218e-12
