case,t_s,rho,G_um,R_Z_eff_m,S_Z,Gamma_growth,P_Z_Pa
CS_thermal,14166.474087014733,0.5468247333767893,0.10927392318482639,5.3953256701352726e-08,0.4917547085920906,0.491841796096023,9267281.172064334
CS_thermal,14299.329852516234,0.5582413540838065,0.1171564361098782,5.591894912195412e-08,0.38980410218348627,0.38989661862752456,8941512.81186536
CS_thermal,14422.898609578488,0.5707313336908406,0.12436391770323434,5.8200583061600606e-08,0.33551373063635415,0.3356018551496644,8590979.22559969
CS_thermal,14547.663148907533,0.5854172557207462,0.13201480464966767,6.108246570474456e-08,0.30640615393587356,0.30648461945881916,8185655.150479013
CS_thermal,14686.605515474477,0.6044331618826837,0.1415377390664096,6.517105069937952e-08,0.29449793155983905,0.2945626378639902,7672118.135802289
CS_thermal,14814.0149522592,0.6244031518348884,0.1517476137103952,6.995636788360702e-08,0.2974165433167544,0.2974679171189667,7147312.176525473
CS_thermal,14944.88366986724,0.6473334511864031,0.16432092106936105,7.617768875761081e-08,0.31123990670110774,0.3112783607280057,6563601.602444859
CS_thermal,15075.917642900597,0.6724433122556248,0.1797153713674895,8.406985352711695e-08,0.3344358139690658,0.33446307514433804,5947435.127131793
CS_thermal,15205.852774903415,0.6989728577959284,0.1985175754890202,9.395568802147139e-08,0.36597672310404455,0.36599507481334664,5321657.586986502
CS_thermal,15334.717540448803,0.7262529098558095,0.22147977522984227,1.0629048731170013e-07,0.4055824434032136,0.4055941695601104,4704089.826342922
CS_thermal,15463.224940298582,0.7537099636536961,0.24956895439698887,1.217059912132614e-07,0.45351857119671185,0.45352565878777173,4108261.1876014103
CS_thermal,15592.424358070248,0.7808505418973172,0.2840327500039751,1.4108029987467938e-07,0.5104446320985179,0.5104486558329107,3544080.9272743706
CS_thermal,15714.396639304321,0.8054528648402131,0.32325576420251234,1.6374622921391637e-07,0.5721105364639931,0.5721127587675251,3053505.429714691
CS_thermal,15840.40356703008,0.8293326273805696,0.37157416523120923,1.92584177033784e-07,0.6426513996669161,0.6426525265464401,2596267.293092764
CS_thermal,15963.189550518828,0.8507500810333857,0.4271149212385705,2.2701948940546115e-07,0.7152137493843794,0.7152142911944713,2202454.077002131
CS_thermal,16084.837988081505,0.8699563176096186,0.49095758805275486,2.6840595479964934e-07,0.7865319667549863,0.7865322096734929,1862849.8774299668
CS_thermal,16207.305951598022,0.8871819163783694,0.564343087259981,3.185774830072359e-07,0.852442139746528,0.8524422390220144,1569476.8986188627
CS_thermal,16332.549522602108,0.9026282038536281,0.6486978262242574,3.800199337572378e-07,0.9082078243098652,0.9082078602755274,1315720.4545996452
