initial_topology,peak_T_C,hold_h,rho_target,rate,attained,base_mechanism,TJ_constraint_mode,HR_pct,beneficial,C_TJ_pore,C_TJ_constraint,C_TJ_relaxed,C_TJ_pinned,R_TJ_pore_drag,Lambda_TJ,K_TJ,Lambda_over_K_TJ,P_comp_TJ,P_TJ_multihit,P_TJ_pore_drag,P_TJ_assisted_densification
GBseg_rich,1450.0,8.0,0.9,100.0,True,mech_009_q0,pore_pinned_drag,-0.03710136611344617,False,0.3417682641783385,0.2329115867910831,0.0,0.2734146113426708,0.19713343936514427,1.8736842264513736,1.0,1.8736842264513736,0.8464431199392426,29.609699922679255,38.01237679495751,26.83493475842414
GBseg_rich,1450.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,-0.17735050654703244,False,0.21580136281534223,0.2392099318592329,0.0,0.1726410902522738,0.20184579456214868,2.9746558192760464,1.0,2.9746558192760464,0.9489349934291582,46.69742421647007,184.58195402174303,59.32814583012458
GBseg_rich,1450.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,0.7891824183066946,False,0.2058533121227184,0.23970733439386407,0.0,0.16468264969817473,0.19441684634016787,2.998180939463957,1.0,2.998180939463957,0.9501222835186559,48.55101880549837,189.24555149387652,58.403102944432014
GBseg_rich,1450.0,20.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,-0.06045617706852168,False,0.34776978513145484,0.23261151074342723,0.0,0.2782158281051639,0.20054832276108053,1.8748924011310921,1.0,1.8748924011310921,0.8466285314463309,28.836013868688234,37.705932342018606,27.46914015682572
GBseg_rich,1450.0,20.0,0.9,100.0,True,mech_009_q0,pore_pinned_drag,-0.03710136611344617,False,0.3417682641783385,0.2329115867910831,0.0,0.2734146113426708,0.19713343936514427,1.8736842264513736,1.0,1.8736842264513736,0.8464431199392426,29.609699922679255,38.01237679495751,26.83493475842414
TJ_rich,1350.0,8.0,0.85,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1350.0,8.0,0.85,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1350.0,8.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1350.0,8.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1350.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,1.0970859677130476,True,0.21742701356660388,0.2391286493216698,0.0,0.1739416108532831,0.6290734703127212,0.940898725561855,1.0,0.940898725561855,0.6097230741529944,54.31855250275394,87.55413928484838,34.97615978969064
TJ_rich,1350.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,1.4948124233684519,True,0.21790761375504986,0.23910461931224752,0.0,0.1743260910040399,0.6330095464794961,0.9442442836089621,1.0,0.9442442836089621,0.6110265865588278,54.909060283312314,89.3581878516013,35.563444629906634
TJ_rich,1350.0,20.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1350.0,20.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1400.0,8.0,0.85,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1400.0,8.0,0.85,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1400.0,8.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1400.0,8.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1400.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,0.887264107374967,False,0.30526365057493143,0.23473681747125344,0.0,0.24421092045994516,0.44022155402611857,1.5636966157976582,1.0,1.5636966157976582,0.7906392871358189,41.07121430752601,86.36020359716773,66.47328577887974
TJ_rich,1400.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,0.7157287558978543,False,0.30540471438517647,0.23472976428074113,0.0,0.2443237715081412,0.4396640517947535,1.5608533654066912,1.0,1.5608533654066912,0.7900431751608961,41.01215190590719,85.88227076491177,66.23012019523343
TJ_rich,1400.0,20.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,3.4934218034280584,True,0.28607796023063825,0.23569610198846808,0.0,0.2288623681845106,0.2624934970789981,1.016354117077004,1.0,1.016354117077004,0.6380879733798764,20.509057889856596,14.875146254685792,15.289470122196294
TJ_rich,1400.0,20.0,0.9,100.0,True,mech_009_q0,pore_pinned_drag,3.279620071656151,True,0.286050957473604,0.23569745212631982,0.0,0.2288407659788832,0.26188852972674725,1.014129472983536,1.0,1.014129472983536,0.6372819517042405,20.45461925502627,14.768579032635555,15.190129428325308
TJ_rich,1450.0,8.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,-1.3220878226365922,False,0.40585487041822377,0.22970725647908877,0.0,0.32468389633457906,0.3038843896270391,2.5075959544302964,1.0,2.5075959544302964,0.9185361531780427,21.222807520658733,79.1673872666815,113.47048657002891
TJ_rich,1450.0,8.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,-1.7616001244710937,False,0.4068211481507851,0.22965894259246078,0.0,0.3254569185206281,0.30329227809224596,2.495566814714137,1.0,2.495566814714137,0.917550295561086,21.240628131724428,78.13391858734725,112.57848618845664
TJ_rich,1450.0,8.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1450.0,8.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
TJ_rich,1450.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,-1.3220878226365922,False,0.40585487041822377,0.22970725647908877,0.0,0.32468389633457906,0.3038843896270391,2.5075959544302964,1.0,2.5075959544302964,0.9185361531780427,21.222807520658733,79.1673872666815,113.47048657002891
TJ_rich,1450.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,-1.7616001244710937,False,0.4068211481507851,0.22965894259246078,0.0,0.3254569185206281,0.30329227809224596,2.495566814714137,1.0,2.495566814714137,0.917550295561086,21.240628131724428,78.13391858734725,112.57848618845664
TJ_rich,1450.0,20.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,2.4053619921605023,True,0.40929659043324707,0.22953517047833763,0.0,0.3274372723465977,0.1824860475668105,1.5135063762013277,1.0,1.5135063762013277,0.7798632591077247,14.841661537666829,12.303244530446346,24.320289173866623
