candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_PR_comp,0.85,TJ_rich,100.0,81,-2.5594010580957463,1489.9077957101922,103637.62407693468,102092.90946027596
mech_009_PR_comp,0.85,baseline,1.0,81,0.0,264051.88853162085,264051.88853162085,0.0
mech_009_PR_comp,0.85,baseline,20.0,81,-1.3823740380952398,15044.1107829185,264051.88853162085,248943.95968664775
mech_009_PR_comp,0.85,baseline,100.0,81,-1.254698522240319,3936.9672588616927,264051.88853162085,260174.2419604567
mech_009_PR_comp,0.85,mixed_GBseg_TJ,1.0,81,0.0,160923.6982408106,160923.6982408106,0.0
mech_009_PR_comp,0.85,mixed_GBseg_TJ,20.0,81,-2.0906633953099454,8780.50876159291,160923.6982408106,152059.46315846348
mech_009_PR_comp,0.85,mixed_GBseg_TJ,100.0,81,-2.3293421635228153,2266.290853458033,160923.6982408106,158663.73196151783
mech_009_PR_comp,0.88,GBseg_rich,1.0,81,0.0,631157.2220442434,631157.2220442434,0.0
mech_009_PR_comp,0.88,GBseg_rich,20.0,81,0.0578660666583743,40845.07789128147,631157.2220442434,586626.8536066279
mech_009_PR_comp,0.88,GBseg_rich,100.0,81,0.0857229152274956,11181.430381032178,631157.2220442434,618229.3004170139
mech_009_PR_comp,0.88,TJ_rich,1.0,81,0.0,103242.69434494144,103242.69434494144,0.0
mech_009_PR_comp,0.88,TJ_rich,20.0,81,-1.8179685281648112,5559.255854473744,103242.69434494144,96467.00640927514
mech_009_PR_comp,0.88,TJ_rich,100.0,81,-1.974770940142223,1273.2654562594018,103242.69434494144,100622.92749906614
mech_009_PR_comp,0.88,baseline,1.0,81,0.0,263985.40100864973,263985.40100864973,0.0
mech_009_PR_comp,0.88,baseline,20.0,81,-1.2032365321179206,14460.363257198049,263985.40100864973,248908.89213215988
mech_009_PR_comp,0.88,baseline,100.0,81,-1.483319645648786,3187.3513856158415,263985.40100864973,260181.9040037421
mech_009_PR_comp,0.88,mixed_GBseg_TJ,1.0,81,0.0,160840.319017096,160840.319017096,0.0
mech_009_PR_comp,0.88,mixed_GBseg_TJ,20.0,81,-1.910792401337438,8695.378083178555,160950.9557225689,151860.35352220753
mech_009_PR_comp,0.88,mixed_GBseg_TJ,100.0,81,-1.8567946531975248,1913.8931718237495,160950.9557225689,158421.85405000384
