rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,case_id,budget_h,reference_rate_C_min
0.752,225.0033771525517,225.00678131567489,0.9999848708420996,-0.0015129386795251039,-1.5129272347225779e-05,LS004,500.0,1.0
0.753,225.00600492126375,225.01398079518526,0.9999645538739712,-0.0035447382501193427,-3.544675425756383e-05,LS004,500.0,1.0
0.754,225.00931846863924,225.02396989379076,0.999934889491291,-0.00651147483634955,-6.511262849024025e-05,LS004,500.0,1.0
0.75,300.00000000000006,300.00000000000006,1.0,0.0,0.0,LS005,96.0,1.0
0.751,300.0006768935323,300.00132012300423,0.9999978559111949,-0.00021440934021288246,-2.144091103617809e-06,LS005,96.0,1.0
0.752,300.00177046542046,300.00450628081376,0.9999908807523353,-0.0009119330826112735,-9.119289245260202e-06,LS005,96.0,1.0
0.753,300.0033199489337,300.0097258668395,0.9999786476325483,-0.0021352823385038977,-2.1352595416753172e-05,LS005,96.0,1.0
0.754,300.0053491655837,300.01713148102806,0.9999607278578186,-0.0039273684543027435,-3.927291335212306e-05,LS005,96.0,1.0
0.75,300.00000000000006,300.00000000000006,1.0,0.0,0.0,LS005,240.0,1.0
0.751,300.0006768935323,300.00132012300423,0.9999978559111949,-0.00021440934021288246,-2.144091103617809e-06,LS005,240.0,1.0
0.752,300.00177046542046,300.00450628081376,0.9999908807523353,-0.0009119330826112735,-9.119289245260202e-06,LS005,240.0,1.0
0.753,300.0033199489337,300.0097258668395,0.9999786476325483,-0.0021352823385038977,-2.1352595416753172e-05,LS005,240.0,1.0
0.754,300.0053491655837,300.01713148102806,0.9999607278578186,-0.0039273684543027435,-3.927291335212306e-05,LS005,240.0,1.0
0.75,300.00000000000006,300.00000000000006,1.0,0.0,0.0,LS005,500.0,1.0
0.751,300.0006768935323,300.00132012300423,0.9999978559111949,-0.00021440934021288246,-2.144091103617809e-06,LS005,500.0,1.0
0.752,300.00177046542046,300.00450628081376,0.9999908807523353,-0.0009119330826112735,-9.119289245260202e-06,LS005,500.0,1.0
0.753,300.0033199489337,300.0097258668395,0.9999786476325483,-0.0021352823385038977,-2.1352595416753172e-05,LS005,500.0,1.0
0.754,300.0053491655837,300.01713148102806,0.9999607278578186,-0.0039273684543027435,-3.927291335212306e-05,LS005,500.0,1.0
0.65,50.00000000000001,50.00000000000001,1.0,0.0,0.0,LS006,96.0,1.0
0.651,50.02555575137775,50.031683344676615,0.9998775257419054,-0.01224892598758351,-0.00012248175867901346,LS006,96.0,1.0
0.652,50.05812966590339,50.07335888980195,0.9996958617469205,-0.030423078129781626,-0.0003041845124977478,LS006,96.0,1.0
0.653,50.094258254022336,50.120662344717054,0.9994731895098848,-0.052708816569009866,-0.000526949303515785,LS006,96.0,1.0
0.654,50.1331833053458,50.1725465047534,0.9992154434616176,-0.07851725506406981,-0.0007848644639305477,LS006,96.0,1.0
0.655,50.17451011035541,50.228531799689144,0.9989244820145416,-0.10766759698283684,-0.001076096769959517,LS006,96.0,1.0
0.656,50.21807745435052,50.288262541365306,0.998604344563365,-0.1397606013065416,-0.0013966302708112207,LS006,96.0,1.0
0.657,50.2637481383468,50.351606979146815,0.9982550936092982,-0.17479564110140128,-0.0017464305130832519,LS006,96.0,1.0
0.658,50.31144596088987,50.418421454203205,0.9978782458825985,-0.21262655300444724,-0.0021240082266769625,LS006,96.0,1.0
0.659,50.36110461854119,50.488549724715625,0.9974757621902527,-0.2530625710848955,-0.002527429069470881,LS006,96.0,1.0
