parameter_id,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364531,12733010.310113436,46809837.81428966
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364315,12733010.310113622,46809837.81428978
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.81936401,12733010.310113885,46809837.81428996
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819363577,12733010.310114272,46809837.81429022
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819362968,12733010.310114814,46809837.8142906
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.81936211,12733010.31011559,46809837.814291134
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.81936091,12733010.310116686,46809837.814291894
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819359237,12733010.310118219,46809837.81429296
nominal_persistent,0.7000000000000003,26666666.666666668,10820341.819356922,12733010.310120368,46809837.814294465
nominal_persistent,0.7000000000000005,26666666.666666668,10820341.819353722,12733010.310123352,46809837.814296566
nominal_persistent,0.7000000000000007,26666666.666666668,10820341.819349334,12733010.310127495,46809837.8142995
nominal_persistent,0.7000000000000012,26666666.666666668,10820341.819343327,12733010.310133206,46809837.81430356
nominal_persistent,0.7000000000000018,26666666.666666668,10820341.819335144,12733010.31014105,46809837.814309165
nominal_persistent,0.7000000000000028,26666666.666666668,10820341.819324035,12733010.310151778,46809837.814316854
nominal_persistent,0.7000000000000044,26666666.666666668,10820341.819309026,12733010.310166385,46809837.81432737
nominal_persistent,0.7000000000000066,26666666.666666646,10820341.81928881,12733010.310186198,46809837.81434166
nominal_persistent,0.7000000000000102,26666666.6666666,10820341.81926169,12733010.310212959,46809837.81436101
nominal_persistent,0.7000000000000157,26666666.66666656,10820341.81922545,12733010.310248958,46809837.81438715
nominal_persistent,0.7000000000000237,26666666.666666478,10820341.81917719,12733010.310297212,46809837.81442229
nominal_persistent,0.7000000000000358,26666666.666666366,10820341.819113154,12733010.31036163,46809837.81446934
nominal_persistent,0.7000000000000537,26666666.666666202,10820341.819028476,12733010.310447302,46809837.81453207
nominal_persistent,0.7000000000000801,26666666.666665953,10820341.818916885,12733010.31056084,46809837.8146154
nominal_persistent,0.700000000000119,26666666.66666559,10820341.818770304,12733010.31071075,46809837.814725675
nominal_persistent,0.7000000000001756,26666666.66666506,10820341.818578394,12733010.310907986,46809837.81487105
nominal_persistent,0.7000000000002582,26666666.666664287,10820341.818327919,12733010.311166592,46809837.815062016
nominal_persistent,0.7000000000003779,26666666.66666317,10820341.81800202,12733010.311504506,46809837.81531192
