audit_case,t_s,T_C,rho,phi_open,phi_precursor,phi_closed,PR_coarsening_flux,PR_to_precursor_flux,precursor_to_closed_flux,closure_rate
resolved_M0_factor_0p3,8258.531317792083,1100.0,0.8561393834116213,0.14076178124416885,0.00039304080793436236,0.0027057945362754833,5.298308533232595e-10,7.988005200932315e-08,5.670810020716727e-07,5.670810020716727e-07
resolved_M0_factor_0p3,8378.531317792083,1100.0,0.8562619167486234,0.14056185115390907,0.00040240776748759,0.0027738243299799434,5.279492173685325e-10,7.984616813584092e-08,5.671768439700489e-07,5.671768439700489e-07
resolved_M0_factor_0p3,8498.531317792083,1100.0,0.8563838201421002,0.1403625509998588,0.0004117651894986199,0.002841863668542362,5.260802210390219e-10,7.981202023382059e-08,5.672680985007566e-07,5.672680985007566e-07
resolved_M0_factor_0p3,8618.531317792083,1100.0,0.8565050989764617,0.1401638760104135,0.00042111303461972075,0.002909911978505163,5.242237292967212e-10,7.977761172900145e-08,5.67354815255051e-07,5.67354815255051e-07
resolved_M0_factor_0p3,8738.531317792083,1100.0,0.85662575857241,0.13996582147111442,0.00043045126406507286,0.00297796869241053,5.223796090720341e-10,7.974294599714197e-08,5.674370432146643e-07,5.674370432146643e-07
resolved_M0_factor_0p3,8858.531317792083,1100.0,0.8567458041878477,0.13976838272382047,0.0004397798396032173,0.0030460332487286306,5.205477292267756e-10,7.970802636492713e-08,5.675148307608684e-07,5.675148307608684e-07
resolved_M0_factor_0p3,8978.531317792083,1100.0,0.8568652410189277,0.13957155516573594,0.0004490987235496314,0.0031141050917867985,5.187279605188841e-10,7.967285611085235e-08,5.675882256828636e-07,5.675882256828636e-07
resolved_M0_factor_0p3,9098.531317792083,1100.0,0.8569840742008481,0.13937533424869264,0.000458407878759426,0.0031821836716997847,5.169201755680505e-10,7.96374384660907e-08,5.67657275186376e-07,5.67657275186376e-07
resolved_M0_factor_0p3,9218.531317792083,1100.0,0.8571023088087139,0.13917971547836505,0.0004677072686201656,0.003250268444300938,5.151242488233913e-10,7.960177661533866e-08,5.677220259016169e-07,5.677220259016169e-07
resolved_M0_factor_0p3,9338.531317792083,1100.0,0.8572199498586174,0.13898469441326355,0.0004769968570448058,0.003318358871074296,5.133400565298484e-10,7.956587369764581e-08,5.677825238912987e-07,5.677825238912987e-07
resolved_M0_factor_0p3,9458.531317792083,1100.0,0.8573370023083112,0.13879026666413632,0.0004862766084647458,0.003386454419087743,5.115674766958225e-10,7.952973280722844e-08,5.678388146590225e-07,5.678388146590225e-07
resolved_M0_factor_0p3,9578.531317792083,1100.0,0.8574534710582579,0.13859642789299217,0.0004955464878229969,0.003454554560926976,5.098063890621024e-10,7.949335699426308e-08,5.678909431567139e-07,5.678909431567139e-07
resolved_M0_factor_0p3,9698.531317792083,1100.0,0.8575693609523516,0.13840317381245043,0.0005048064605674603,0.0035226587746304983,5.080566750704007e-10,7.945674926566632e-08,5.679389537927623e-07,5.679389537927623e-07
resolved_M0_factor_0p3,9818.531317792083,1100.0,0.8576846767787831,0.13821050018494707,0.0005140564926443158,0.0035907665436254598,5.06318217833899e-10,7.941991258585593e-08,5.679828904393866e-07,5.679828904393866e-07
resolved_M0_factor_0p3,9938.531317792083,1100.0,0.8577994232708126,0.13801840282203146,0.0005232965504915174,0.0036588773566644073,5.045909021077297e-10,7.938284987749725e-08,5.680227964402116e-07,5.680227964402116e-07
resolved_M0_factor_0p3,10058.531317792083,1100.0,0.8579136051076064,0.13782687758359832,0.0005325266010323927,0.003726990707762895,5.028746142601723e-10,7.934556402223407e-08,5.680587146175757e-07,5.680587146175757e-07
resolved_M0_factor_0p3,10178.531317792083,1100.0,0.8580272269149838,0.1376359203772089,0.0005417466116693482,0.0037951060961379725,5.011692422443441e-10,7.93080578614043e-08,5.680906872798795e-07,5.680906872798795e-07
resolved_M0_factor_0p3,10298.531317792083,1100.0,0.858140293266302,0.13744552715727282,0.0005509565502776721,0.0038632230261474885,4.994746755701233e-10,7.927033419674093e-08,5.68118756228673e-07,5.68118756228673e-07
resolved_M0_factor_0p3,10418.531317792083,1100.0,0.8582528086831761,0.13725569392439413,0.00056015638519944,0.0039313410072302785,4.977908052764803e-10,7.92323957910584e-08,5.681429627659301e-07,5.681429627659301e-07
resolved_M0_factor_0p3,10538.531317792083,1100.0,0.8583647776360374,0.13706641672487793,0.0005693460852375139,0.003999459553847238,4.961175239063092e-10,7.919424536892455e-08,5.681633477009121e-07,5.681633477009121e-07
resolved_M0_factor_0p3,10658.531317792083,1100.0,0.85847620454513,0.13687769164979738,0.0005785256196496404,0.004067578185423007,4.944547254801436e-10,7.915588561731984e-08,5.681799513566444e-07,5.681799513566444e-07
resolved_M0_factor_0p3,10778.531317792083,1100.0,0.858587093781046,0.13668951483452266,0.0005876949581426395,0.00413569642628867,4.928023054699751e-10,7.911731918628185e-08,5.68192813577162e-07,5.68192813577162e-07
resolved_M0_factor_0p3,10898.531317792083,1100.0,0.8586974496656202,0.13650188245788802,0.0005968540708666873,0.004203813805625061,4.911601607744595e-10,7.907854868953796e-08,5.682019737337838e-07,5.682019737337838e-07
resolved_M0_factor_0p3,11018.531317792083,1100.0,0.8588072764723694,0.13631479074181385,0.0006060029284096863,0.004271929857407062,4.895281896947405e-10,7.903957670512343e-08,5.682074707319916e-07,5.682074707319916e-07
resolved_M0_factor_0p3,11138.531317792083,1100.0,0.8589165784274374,0.1361282359504225,0.0006151415017917269,0.004340044120348393,4.879062919106722e-10,7.90004057759895e-08,5.682093430173799e-07,5.682093430173799e-07
resolved_M0_factor_0p3,11258.531317792083,1100.0,0.8590253597100141,0.13594221438967882,0.0006242697624596335,0.004408156137847432,4.862943684571315e-10,7.896103841059622e-08,5.682076285824717e-07,5.682076285824717e-07
resolved_M0_factor_0p3,11378.531317792083,1100.0,0.8591336244532558,0.1357567224065291,0.000633387682281596,0.004476265457933503,4.84692321701164e-10,7.892147708349685e-08,5.682023649724853e-07,5.682023649724853e-07
resolved_M0_factor_0p3,11498.531317792083,1100.0,0.8592413767446846,0.1355717563885594,0.0006424952335418851,0.004544371633214151,4.831000553192567e-10,7.888172423590644e-08,5.681935892919474e-07,5.681935892919474e-07
resolved_M0_factor_0p3,11618.531317792083,1100.0,0.8593486206270131,0.1353873127632283,0.00065159238893565,0.004612474220822921,4.815174742757923e-10,7.884178227626346e-08,5.681813382102845e-07,5.681813382102845e-07
resolved_M0_factor_0p3,11738.531317792083,1100.0,0.8594553600987411,0.1352033879973272,0.000660679121563794,0.004680572782367944,4.799444848004022e-10,7.880165358077635e-08,5.681656479681092e-07,5.681656479681092e-07
resolved_M0_factor_0p3,11858.531317792083,1100.0,0.8595615991147414,0.13501997859644949,0.0006697554049279327,0.0047486668838812385,4.783809943671747e-10,7.876134049396083e-08,5.681465543830246e-07,5.681465543830246e-07
resolved_M0_factor_0p3,11978.531317792083,1100.0,0.8596673415867675,0.13483708110453835,0.0006788212129254251,0.004816756095768706,4.768269116746959e-10,7.872084532916682e-08,5.68124092855335e-07,5.68124092855335e-07
resolved_M0_factor_0p3,12098.531317792083,1100.0,0.8597725913842345,0.13465469210316033,0.0006878765198444856,0.00488483999276066,4.752821466252061e-10,7.868017036909636e-08,5.680982983735647e-07,5.680982983735647e-07
resolved_M0_factor_0p3,12218.531317792083,1100.0,0.8598773523346357,0.13447280821114174,0.000696921300359366,0.0049529181538632205,4.73746610304516e-10,7.863931786630705e-08,5.680692055203716e-07,5.680692055203716e-07
resolved_M0_factor_0p3,12338.531317792083,1100.0,0.8599816282243027,0.13429142608386152,0.0007059555295256138,0.0050209901623101474,4.722202149624054e-10,7.859829004371081e-08,5.680368484777687e-07,5.680368484777687e-07
resolved_M0_factor_0p3,12458.531317792083,1100.0,0.8600854227987362,0.13411054241297282,0.0007149791827754002,0.005089055605515581,4.707028739937571e-10,7.855708909505695e-08,5.680012610328593e-07,5.680012610328593e-07
resolved_M0_factor_0p3,12578.531317792083,1100.0,0.8601887397634158,0.13393015392564417,0.0007239922359129209,0.005157114075027109,4.691945019196908e-10,7.851571718541382e-08,5.679624765827914e-07,5.679624765827914e-07
